"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.004881,0.159129
KE-37,ALL,blood,lymphoblastic_leukemia,0.009674,0.238821
VAL,DLBC,blood,B_cell_lymphoma,0.011838,0.274755
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.012347,0.297284
EW-3,UNCLASSIFIED,bone,ewings_sarcoma,0.012439,0.299285
CTV-1,LAML,blood,acute_myeloid_leukaemia,0.013035,0.276776
CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.013676,0.285134
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,0.013898,0.293499
BV-173,LCML,blood,chronic_myeloid_leukaemia,0.014494,0.297740
BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,0.015980,0.310163
RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,0.019365,0.335273
SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.021029,0.361153
HAL-01,ALL,blood,lymphoblastic_leukemia,0.023814,0.363120
MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.024641,0.364141
NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.026521,0.378413
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,0.031597,0.402102
KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,0.032539,0.403899
KU812,LCML,blood,chronic_myeloid_leukaemia,0.034037,0.414222
P30-OHK,ALL,blood,lymphoblastic_leukemia,0.041476,0.440368
ML-2,LAML,blood,acute_myeloid_leukaemia,0.044692,0.450767
JJN-3,MM,blood,haematopoietic_neoplasm_other,0.045772,0.453680
SUP-B15,ALL,blood,lymphoblastic_leukemia,0.045830,0.455022
NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,0.046466,0.457156
NCI-H1417,SCLC,lung,lung_small_cell_carcinoma,0.046535,0.459292
ALL-PO,ALL,blood,lymphoblastic_leukemia,0.048298,0.462474
SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,0.054474,0.479929
OCI-M1,LAML,blood,acute_myeloid_leukaemia,0.058545,0.489174
ALL-SIL,ALL,blood,T_cell_leukemia,0.061067,0.495083
WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.061090,0.495087
PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,0.064721,0.503066
LC4-1,ALL,blood,lymphoblastic_leukemia,0.066123,0.506160
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,0.067212,0.508604
EW-1,UNCLASSIFIED,bone,ewings_sarcoma,0.067640,0.509055
REH,UNCLASSIFIED,blood,B_cell_leukemia,0.069650,0.513671
MOLT-4,ALL,blood,lymphoblastic_leukemia,0.078618,0.530481
SCC-3,DLBC,blood,B_cell_lymphoma,0.079163,0.531705
SU-DHL-8,DLBC,blood,B_cell_lymphoma,0.081467,0.536593
CHP-212,NB,nervous_system,neuroblastoma,0.082472,0.533420
COLO-668,SCLC,lung,lung_small_cell_carcinoma,0.083568,0.533293
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,0.084678,0.541791
SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.089740,0.550566
