Cell line,TCGA classification,Tissue,Tissue sub-type,IC50,AUC
MEG-01,LCML,blood,chronic_myeloid_leukaemia,0.000227,0.025492
KU812,LCML,blood,chronic_myeloid_leukaemia,0.000242,0.021787
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,0.000291,0.016849
JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,0.000489,0.017684
CTV-1,LAML,blood,acute_myeloid_leukaemia,0.000717,0.04123
CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.000841,0.054928
ALL-SIL,ALL,blood,T_cell_leukemia,0.000892,0.072842
KCL-22,LCML,blood,chronic_myeloid_leukaemia,0.001004,0.086311
EM-2,LCML,blood,chronic_myeloid_leukaemia,0.001857,0.136611
BV-173,LCML,blood,chronic_myeloid_leukaemia,0.002981,0.17094
K-562,LCML,blood,chronic_myeloid_leukaemia,0.003695,0.217653
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.003879,0.192416
WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.008634,0.290779
GDM-1,LAML,blood,acute_myeloid_leukaemia,0.009727,0.322674
SU-DHL-6,DLBC,blood,B_cell_lymphoma,0.01845,0.383721
SUP-B15,ALL,blood,lymphoblastic_leukemia,0.025302,0.426939
SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.031692,0.454676
KARPAS-1106P,DLBC,blood,B_cell_lymphoma,0.054779,0.525819
WSU-DLCL2,DLBC,blood,B_cell_lymphoma,0.074545,0.565001
RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.163447,0.659843
JVM-2,CLL,blood,lymphoid_neoplasm_other,0.261644,0.700173
ARH-77,MM,blood,myeloma,0.310378,0.741045
WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.370205,0.763462
VAL,DLBC,blood,B_cell_lymphoma,0.382966,0.764248
GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,0.388477,0.766145
PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,0.404634,0.76311
CESS,LAML,blood,acute_myeloid_leukaemia,0.488159,0.780595
NKM-1,LAML,blood,acute_myeloid_leukaemia,0.49158,0.781637
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,0.582672,0.808708
NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.61299,0.821848
MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.616767,0.814536
MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.635022,0.829799
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.701301,0.849168
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,0.757599,0.826123
KARPAS-45,ALL,blood,lymphoblastic_leukemia,0.781146,0.849641
RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,0.825952,0.841989
CA46,UNCLASSIFIED,blood,Burkitt_lymphoma,0.910672,0.827698
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,0.97547,0.832902
A4-Fuk,DLBC,blood,B_cell_lymphoma,0.982494,0.870816
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.998803,0.874515
BE-13,ALL,blood,lymphoblastic_leukemia,1.050615,0.86198
JVM-3,CLL,blood,lymphoid_neoplasm_other,1.189113,0.868326
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,1.198524,0.850993
P30-OHK,ALL,blood,lymphoblastic_leukemia,1.320347,0.898202
NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,1.417715,0.894197
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,1.57784,0.899625
NCI-H929,MM,blood,myeloma,1.60481,0.90418
